MCC;TCC;MCC Category;Категория МСС;MCC Sub-Category;Подкатегория МСС;Description;Группа МСС;
3036;X;Transportation;Перевозки;Airlines;Авиакомпании;VASP (Brazil)—VASP;;
3037;X;Transportation;Перевозки;Airlines;Авиакомпании;EgyptAir—EGYPTAIR;;
3038;X;Transportation;Перевозки;Airlines;Авиакомпании;Kuwait Airways—KUWAIT;;
3039;X;Transportation;Перевозки;Airlines;Авиакомпании;Avianca—AVIANCA;;
3040;X;Transportation;Перевозки;Airlines;Авиакомпании;Gulf Air (Bahrain)—GULF AIR;;
3041;X;Transportation;Перевозки;Airlines;Авиакомпании;Balkan—Bulgarian Airlines—BALKAN;;
3042;X;Transportation;Перевозки;Airlines;Авиакомпании;Finnair—FINNAIR;;
3043;X;Transportation;Перевозки;Airlines;Авиакомпании;Aer Lingus—AERLING;;
3044;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Lanka—AIR LANKA;;
3045;X;Transportation;Перевозки;Airlines;Авиакомпании;Nigeria Airways—NIGERIA;;
3046;X;Transportation;Перевозки;Airlines;Авиакомпании;Cruzeiro do Sul (Brazil)—CRUZEIRO;;
3047;X;Transportation;Перевозки;Airlines;Авиакомпании;THY (Turkey)—THY;;
3048;X;Transportation;Перевозки;Airlines;Авиакомпании;Royal Air Maroc—AIRMARO;;
3049;X;Transportation;Перевозки;Airlines;Авиакомпании;Tunis Air—TUNIS AI;;
3050;X;Transportation;Перевозки;Airlines;Авиакомпании;Icelandair—ICELANDA;;
3051;X;Transportation;Перевозки;Airlines;Авиакомпании;Austrian Airlines—AUSTRIAN;;
3052;X;Transportation;Перевозки;Airlines;Авиакомпании;LAN Airlines—LAN AIR;;
3053;X;Transportation;Перевозки;Airlines;Авиакомпании;AVIACO (Spain)—AVIACO;;
3054;X;Transportation;Перевозки;Airlines;Авиакомпании;LADECO (Chile)—LADECO;;
3055;X;Transportation;Перевозки;Airlines;Авиакомпании;LAB (Bolivia)—LAB;;
3056;X;Transportation;Перевозки;Airlines;Авиакомпании;Jet Airways—JET AIR;;
3057;X;Transportation;Перевозки;Airlines;Авиакомпании;Virgin America—VIR AMER;;
3058;X;Transportation;Перевозки;Airlines;Авиакомпании;Delta—DELTA;;
3059;X;Transportation;Перевозки;Airlines;Авиакомпании;DBA Airlines—DBA AIR;;
3060;X;Transportation;Перевозки;Airlines;Авиакомпании;Northwest Airlines—NWA AIR;;
3061;X;Transportation;Перевозки;Airlines;Авиакомпании;Continental—CONTINEN;;
3062;X;Transportation;Перевозки;Airlines;Авиакомпании;Hapag-Lloyd Express—HLX;;
3063;X;Transportation;Перевозки;Airlines;Авиакомпании;U.S. Airways—USAIRWYS;;
3064;X;Transportation;Перевозки;Airlines;Авиакомпании;Adria Airways—ADRIA AIR;;
3065;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Inter—AIRINTER;;
3066;X;Transportation;Перевозки;Airlines;Авиакомпании;Southwest Airlines—SOUTHWES;;
3067;X;Transportation;Перевозки;Airlines;Авиакомпании;Vanguard Airlines—VANGUARD;;
3068;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Astana—AIRSTANA;;
3071;X;Transportation;Перевозки;Airlines;Авиакомпании;Air British Columbia—AIR B R C;;
3072;X;Transportation;Перевозки;Airlines;Авиакомпании;Cebu Pacific—CEBU PAC;;
3075;X;Transportation;Перевозки;Airlines;Авиакомпании;Singapore Airlines—SINGAPOR;;
3076;X;Transportation;Перевозки;Airlines;Авиакомпании;Aeromexico—AEROMEXI;;
